name	name2	sex	country	birth	height(cm)	weight(kg)	event	native	register
安-弗雷泽 	Shelly-Ann Fraser-Pryce	女	牙买加	1986年11月27日	160	52	田径		
阿莱克斯?加西亚 	Alex Garcia	男	巴西	1980年3月4日	191	89	篮球		
安德森?瓦莱乔 	Anderson Varejao	男	巴西	1982年9月28日	211	118	篮球		
埃米莉·西博姆 	Emily Jane Seebohm	女	澳大利亚	1992年6月5日	180	64	游泳		
安迪·穆雷 	Andy Murray	男	英国	1987年5月15日	191	81	网球		
阿列克谢·克里莫夫 	Alexey Klimov 	男	俄罗斯	1975年8月27日	182	81	"射击
"		
艾衍含 	Ai Yanhan	女	中国	2002年2月7日			游泳	湖北	
阿索维奇 	ARSOVIC Andrea								
安赫尔-科雷亚 	Angel Correa	男	阿根廷	1995年3月9日	173	71	男子足球		
埃德加-耶 	Edgar Ie	男	葡萄牙	1994年5月1日	176	72	男子足球		
安吉尔·麦克康特利 	Angel McCoughtry	女	美国	1986年9月10日	185	73	篮球		
阿尔法拉克·阿米奴 	Al-Farouq Aminu	男	尼日利亚	1990年9月21日	206	98	篮球		
阿隆·贝内斯 	Aron Baynes	男	澳大利亚	1986年12月9日	208	118	篮球		
安德烈斯·诺西奥尼 	Andres Nocioni	男	阿根廷	1979年11月30日	201	102	篮球		
艾克内·伊贝克维 	Ekene Ibekwe	男	尼日利亚	1985年7月19日	206	100	篮球		
奥古斯托 	Augusto	男	巴西	1988年2月8日	186	86	男子足球		
鲍里斯·迪奥 	Boris Diaw	男	法国	1982年4月16日	203	107	篮球		
卞卡 	BIAN Ka	女	中国	1993年1月5日	182	113	女子铅球	江苏	江苏
保罗·加索尔 	Pau Gasol	男	西班牙	1980年7月6日	213	118	篮球		
白发全 	Bai Faquan 	男	中国	1986年3月18日	175	64	铁人三项	云南	"四川
"
毕晓琳 	Bi Xiaolin	女	中国	1989年9月18日			足球	辽宁	
保罗·乔治 	Paul George	男	美国	1990年5月2日	203	95	篮球		
博涅娃 	BONEVA Antoaneta	女	保加利亚	1986年1月17日			射击		
巴哈尔·卡格拉尔 	Bahar Caglar	女	土耳其	1988年9月28日	191	76	篮球		
波尔 	Timo Boll	男	德国	1981年3月8日	178	65	乒乓球		
鲍语晴 	Bao Yuqing	女	中国				艺术体操	浙江	
毕胜峰 	Bi Shengfeng	男	中国				摔跤		山东
贝莎妮·马泰克-桑兹 	Bethanie Mattek-Sands	女	美国	1985年3月23日	168	66.4	网球		
查德·勒克洛斯 	Chad le Clos	男	南非	1992年4月12日	183	77.8	游泳		
陈楠 	Chen Nan	女	中国	1983年12月8日	197	90	篮球	青岛胶南	
查尔斯·卡胡迪 	Charles Kahudi	男	法国	1983年5月25日	190	94	篮球		
陈晓佳 	Chen Xiao Jia	女	中国	1988年4月2日	180	70	篮球	江苏无锡	
陈扬 	CHEN Yang	女	中国	1991年7月10日	180	100	女子铁饼	河北	河北
陈洁 	Chen Jie	女	中国	1995年	176		游泳	湖北	
陈欣怡 	Chen Xinyi	女	中国	1998年			游泳	上海	
崔米尚 	CHOI Misun	女	韩国	1996年7月1日			射箭		
曹玥 	Cao Yue	女	中国	1995年			游泳	山西	
曹缘 	Cao Yuan	男	中国	1995年2月7日	160	42	跳水	北京市	北京市
